Date,Gospels,Pentateuch,Epistles1,Epistles2,Wisdom,Psalms,Proverbs,History,Prophets,Acts
2023-03-28,John 19,Exodus 37,Romans 9,Philemon 1,Job 25,Psalms 87,Proverbs 25,2 Samuel 7,Jeremiah 21,Acts 3
2023-03-29,John 20,Exodus 38,Romans 10,James 1,Job 26,Psalms 88,Proverbs 26,2 Samuel 8,Jeremiah 22,Acts 4
2023-03-30,John 21,Exodus 39,Romans 11,James 2,Job 27,Psalms 89,Proverbs 27,2 Samuel 9,Jeremiah 23,Acts 5
2023-03-31,Matthew 1,Exodus 40,Romans 12,James 3,Job 28,Psalms 90,Proverbs 28,2 Samuel 10,Jeremiah 24,Acts 6
2023-04-01,Matthew 2,Leviticus 1,Romans 13,James 4,Job 29,Psalms 91,Proverbs 29,2 Samuel 11,Jeremiah 25,Acts 7
2023-04-02,Matthew 3,Leviticus 2,Romans 14,James 5,Job 30,Psalms 92,Proverbs 30,2 Samuel 12,Jeremiah 26,Acts 8
2023-04-03,Matthew 4,Leviticus 3,Romans 15,1 Peter 1,Job 31,Psalms 93,Proverbs 31,2 Samuel 13,Jeremiah 27,Acts 9
2023-04-04,Matthew 5,Leviticus 4,Romans 16,1 Peter 2,Job 32,Psalms 94,Proverbs 1,2 Samuel 14,Jeremiah 28,Acts 10
2023-04-05,Matthew 6,Leviticus 5,1 Corinthians 1,1 Peter 3,Job 33,Psalms 95,Proverbs 2,2 Samuel 15,Jeremiah 29,Acts 11
2023-04-06,Matthew 7,Leviticus 6,1 Corinthians 2,1 Peter 4,Job 34,Psalms 96,Proverbs 3,2 Samuel 16,Jeremiah 30,Acts 12
2023-04-07,Matthew 8,Leviticus 7,1 Corinthians 3,1 Peter 5,Job 35,Psalms 97,Proverbs 4,2 Samuel 17,Jeremiah 31,Acts 13
2023-04-08,Matthew 9,Leviticus 8,1 Corinthians 4,2 Peter 1,Job 36,Psalms 98,Proverbs 5,2 Samuel 18,Jeremiah 32,Acts 14
2023-04-09,Matthew 10,Leviticus 9,1 Corinthians 5,2 Peter 2,Job 37,Psalms 99,Proverbs 6,2 Samuel 19,Jeremiah 33,Acts 15
