Date,Gospels,Pentateuch,Epistles1,Epistles2,Wisdom,Psalms,Proverbs,History,Prophets,Acts
Thu 3/9,Luke 24,Exod 18,Heb 3,1Thess 3,Job 6,Psalm 68,Prov 6,1Sam 19,Jer 2,Acts 12
Fri 3/10,John 1,Exod 19,Heb 4,1Thess 4,Job 7,Psalm 69,Prov 7,1Sam 20,Jer 3,Acts 13
Sat 3/11,John 2,Exod 20,Heb 5,1Thess 5,Job 8,Psalm 70,Prov 8,1Sam 21,Jer 4,Acts 14
L.D. 3/12,John 3,Exod 21,Heb 6,2Thess 1,Job 9,Psalm 71,Prov 9,1Sam 22,Jer 5,Acts 15
Mon 3/13,John 4,Exod 22,Heb 7,2Thess 2,Job 10,Psalm 72,Prov 10,1Sam 23,Jer 6,Acts 16
Tue 3/14,John 5,Exod 23,Heb 8,2Thess 3,Job 11,Psalm 73,Prov 11,1Sam 24,Jer 7,Acts 17
Wed 3/15,John 6,Exod 24,Heb 9,1Tim 1,Job 12,Psalm 74,Prov 12,1Sam 25,Jer 8,Acts 18
Thu 3/16,John 7,Exod 25,Heb 10,1Tim 2,Job 13,Psalm 75,Prov 13,1Sam 26,Jer 9,Acts 19
Fri 3/17,John 8,Exod 26,Heb 11,1Tim 3,Job 14,Psalm 76,Prov 14,1Sam 27,Jer 10,Acts 20
Sat 3/18,John 9,Exod 27,Heb 12,1Tim 4,Job 15,Psalm 77,Prov 15,1Sam 28,Jer 11,Acts 21
L.D. 3/19,John 10,Exod 28,Heb 13,1Tim 5,Job 16,Psalm 78,Prov 16,1Sam 29,Jer 12,Acts 22
Mon 3/20,John 11,Exod 29,Romans 1,1Tim 6,Job 17,Psalm 79,Prov 17,1Sam 30,Jer 13,Acts 23
Tue 3/21,John 12,Exod 30,Romans 2,2Tim 1,Job 18,Psalm 80,Prov 18,1Sam 31,Jer 14,Acts 24
Wed 3/22,John 13,Exod 31,Romans 3,2Tim 2,Job 19,Psalm 81,Prov 19,2Sam 1,Jer 15,Acts 25
Thu 3/23,John 14,Exod 32,Romans 4,2Tim 3,Job 20,Psalm 82,Prov 20,2Sam 2,Jer 16,Acts 26
Fri 3/24,John 15,Exod 33,Romans 5,2Tim 4,Job 21,Psalm 83,Prov 21,2Sam 3,Jer 17,Acts 27
Sat 3/25,John 16,Exod 34,Romans 6,Titus 1,Job 22,Psalm 84,Prov 22,2Sam 4,Jer 18,Acts 28
L.D. 3/26,John 17,Exod 35,Romans 7,Titus 2,Job 23,Psalm 85,Prov 23,2Sam 5,Jer 19,Acts 1
Mon 3/27,John 18,Exod 36,Romans 8,Titus 3,Job 24,Psalm 86,Prov 24,2Sam 6,Jer 20,Acts 2
Tue 3/28,John 19,Exod 37,Romans 9,Philemon,Job 25,Psalm 87,Prov 25,2Sam 7,Jer 21,Acts 3
Wed 3/29,John 20,Exod 38,Romans 10,James 1,Job 26,Psalm 88,Prov 26,2Sam 8,Jer 22,Acts 4
Thu 3/30,John 21,Exod 39,Romans 11,James 2,Job 27,Psalm 89,Prov 27,2Sam 9,Jer 23,Acts 5
Fri 3/31,Matt 1,Exod 40,Romans 12,James 3,Job 28,Psalm 90,Prov 28,2Sam 10,Jer 24,Acts 6
Sat 4/1,Matt 2,Lev 1,Romans 13,James 4,Job 29,Psalm 91,Prov 29,2Sam 11,Jer 25,Acts 7
L.D. 4/2,Matt 3,Lev 2,Romans 14,James 5,Job 30,Psalm 92,Prov 30,2Sam 12,Jer 26,Acts 8
Mon 4/3,Matt 4,Lev 3,Romans 15,1Peter 1,Job 31,Psalm 93,Prov 31,2Sam 13,Jer 27,Acts 9
Tue 4/4,Matt 5,Lev 4,Romans 16,1Peter 2,Job 32,Psalm 94,Prov 1,2Sam 14,Jer 28,Acts 10
Wed 4/5,Matt 6,Lev 5,1Cor 1,1Peter 3,Job 33,Psalm 95,Prov 2,2Sam 15,Jer 29,Acts 11
Thu 4/6,Matt 7,Lev 6,1Cor 2,1Peter 4,Job 34,Psalm 96,Prov 3,2Sam 16,Jer 30,Acts 12
Fri 4/7,Matt 8,Lev 7,1Cor 3,1Peter 5,Job 35,Psalm 97,Prov 4,2Sam 17,Jer 31,Acts 13
Sat 4/8,Matt 9,Lev 8,1Cor 4,2Peter 1,Job 36,Psalm 98,Prov 5,2Sam 18,Jer 32,Acts 14
L.D. 4/9,Matt 10,Lev 9,1Cor 5,2Peter 2,Job 37,Psalm 99,Prov 6,2Sam 19,Jer 33,Acts 15
Mon 4/10,Matt 11,Lev 10,1Cor 6,2Peter 3,Job 38,Psalm 100,Prov 7,2Sam 20,Jer 34,Acts 16
